"","V1","V2","V3","lat","lon"
"11859","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"11860","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
"11861","Dept of Behavioral Health & Developmental Sv","Center of Excellence Program Coordinator","Richmond, VA",37.626617,-77.492834
"11862","General Dynamics - Information Technology","Network Analyst/Systems Administrator II - TS/SCI - Ft. Belv...","Fort Belvoir, VA",38.714562,-77.167886
"11863","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"11864","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"11865","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"11866","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"11867","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"11868","Richmond Public Schools","Office Associate II","Richmond, VA",37.626617,-77.492834
"11869","George Mason University","Research Assistant Professor/Research Associate Professor, N...","Fairfax, VA",38.83469,-77.27622
"11870","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"11871","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"11872","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"11873","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"11874","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
"11875","RadiantBlue Technologies, Inc.","Systems Analyst I","Chantilly, VA",38.88668,-77.44566
"11876","Booz Allen Hamilton","Video / Voice / Data Business Lead","Herndon, VA",38.983887,-77.367457
"11877","General Dynamics - Information Technology","Network Analyst/Systems Administrator II - TS/SCI - Ft. Belv...","Fort Belvoir, VA",38.714562,-77.167886
"11878","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"11879","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"11880","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"11881","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"11882","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"11883","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"11884","Goldbelt, Inc.","DATA ENTRY OPERATOR II","Newport News, VA",37.058296,-76.463471
"11885","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"11886","McGuireWoods LLP","Technical Operations Center Analyst","Richmond, VA",37.626617,-77.492834
